player,org,agent,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
rise,CLG,brimstone,219.3,1.19,82,143.6,0.74,0.51,0.06,0.07,23,14
fzkk,Trop,brimstone,216.8,1.13,76,135.0,0.76,0.44,0.09,0.07,22,18
tupperware,IMT,brimstone,216.7,1.21,79,143.0,0.74,0.40,0.10,0.06,23,12
Zoestol,Mach,brimstone,208.9,0.98,77,133.9,0.70,0.46,0.06,0.04,19,16
Marved,OPTC,brimstone,206.6,1.12,77,135.3,0.72,0.41,0.09,0.05,28,24
Saint,Cap,brimstone,200.5,1.08,74,136.5,0.70,0.33,0.06,0.06,27,24
nerve,CD,brimstone,199.1,0.98,73,133.5,0.68,0.42,0.05,0.05,27,14
THOOMER,THOOMER,brimstone,198.7,1.01,75,134.0,0.68,0.45,0.05,0.08,22,13
Tiraye,GEN.B,brimstone,196.9,1.09,80,121.2,0.71,0.39,0.04,0.05,28,35
Katashio,Katashio,brimstone,195.7,0.93,73,127.7,0.65,0.49,0.04,0.07,24,22
wudiYuChEn,FPX.ZQ,brimstone,194.8,0.90,73,128.0,0.63,0.45,0.10,0.09,27,7
ADRENALINE,ZMM.B,brimstone,190.4,0.93,78,124.7,0.60,0.56,0.08,0.09,20,12
ARES,ARES,brimstone,181.4,0.83,69,116.0,0.60,0.39,0.09,0.09,19,9
adm1k,AM,brimstone,173.5,0.89,69,116.9,0.59,0.36,0.08,0.07,25,21
Mady,MSF,brimstone,171.0,0.78,71,109.0,0.58,0.36,0.06,0.08,22,27
pleets,LOS,brimstone,168.8,0.93,80,105.9,0.55,0.54,0.04,0.06,11,24
Asteriskk,PSJ,brimstone,164.7,0.81,73,104.5,0.54,0.53,0.04,0.07,16,33
skye,GX,brimstone,161.4,0.74,71,105.2,0.56,0.44,0.09,0.08,23,22
meL,C9W,chamber,287.9,1.73,80,179.7,1.03,0.19,0.21,0.09,26,29
ZmjjKK,EDG,chamber,271.2,1.39,74,172.6,0.98,0.14,0.23,0.13,25,3
Cryocells,XSET,chamber,267.7,1.56,78,162.0,0.97,0.19,0.19,0.09,23,23
Ptero,SLR,chamber,265.7,1.65,76,166.9,0.98,0.21,0.15,0.07,16,14
bunny,bee,chamber,262.7,1.35,74,166.0,0.97,0.15,0.19,0.07,26,14
dicey,FaZe,chamber,258.2,1.54,76,167.9,0.95,0.14,0.17,0.09,31,19
Laz,ZETA,chamber,257.9,1.32,74,162.0,0.92,0.17,0.21,0.13,25,10
BADlove,RGE,chamber,255.9,1.35,73,164.4,0.94,0.14,0.17,0.11,30,17
BuZz,DRX,chamber,252.6,1.49,76,163.8,0.91,0.23,0.17,0.12,26,17
Lin,YFP,chamber,252.0,1.27,73,163.6,0.87,0.21,0.16,0.12,18,4
seven,TSM,chamber,250.1,1.42,74,153.8,0.96,0.14,0.14,0.13,22,8
yay,OPTC,chamber,249.3,1.37,73,157.9,0.91,0.14,0.17,0.12,25,9
nabbsky,AECL,chamber,248.6,1.62,80,162.5,0.94,0.18,0.17,0.08,24,19
RND,LOS,chamber,248.5,1.43,71,151.7,0.94,0.13,0.19,0.10,20,15
Hollywood,AIM,chamber,247.6,1.25,74,159.5,0.87,0.20,0.13,0.09,24,10
NicoleG,NicoleG,chamber,247.5,1.23,70,163.8,0.84,0.21,0.18,0.12,29,7
Alfajer,SUR,chamber,247.1,1.23,70,160.2,0.86,0.12,0.15,0.14,37,20
johnqt,Ghost,chamber,246.8,1.66,78,158.3,0.91,0.15,0.13,0.06,30,25
kirei,BAL,chamber,246.1,1.40,72,154.1,0.91,0.13,0.12,0.09,24,15
VolcaN,Unkn,chamber,244.9,1.23,69,155.7,0.88,0.12,0.16,0.09,22,15
Babytz,X10F,chamber,243.5,1.29,74,154.6,0.87,0.18,0.11,0.10,17,8
Jerk,YFP,chamber,243.1,1.23,75,152.5,0.86,0.19,0.14,0.08,20,13
tyti,Neme,chamber,242.9,1.20,70,156.9,0.86,0.17,0.15,0.08,26,9
szimpli,GML,chamber,242.3,1.12,69,155.7,0.85,0.18,0.17,0.12,25,14
Shabi,Shabi,chamber,239.0,1.40,69,154.3,0.87,0.16,0.15,0.09,25,8
theia,DIG,chamber,238.3,1.23,71,153.8,0.86,0.17,0.16,0.14,23,13
LoveX,LoveX,chamber,238.2,1.20,73,155.5,0.85,0.15,0.08,0.10,20,7
Nivera,TL,chamber,238.1,1.53,76,147.0,0.87,0.11,0.19,0.07,24,14
zoe,def,chamber,233.9,1.11,65,152.5,0.84,0.15,0.15,0.10,33,6
k1Ng,TE,chamber,233.4,1.13,69,154.0,0.81,0.16,0.15,0.11,29,30
BoomCS,PAWN,chamber,231.7,1.27,73,151.9,0.84,0.13,0.14,0.09,26,13
Eeyore,PSJ,chamber,231.2,1.07,65,143.3,0.78,0.15,0.13,0.14,26,
bearkun,LT,chamber,230.5,1.24,71,141.7,0.94,0.14,0.20,0.09,18,18
Okeanos,BAL,chamber,230.4,1.14,65,148.0,0.84,0.15,0.18,0.14,34,20
